year,ticker,N,delta,xmin,alpha,gamma (nlls),gamma (psd),phi exponent,phi exponent half width,beta,beta half width
2023,ACT,1500,1.5,4.0,1.8476562499999996,0.8227551122709955,0.23114294403492475,0.2241621585460678,0.17467796567007696,-0.09039810258518596,0.022261057771403872
2024,ACT,1500,1.5,4.0,1.5888959167566732,0.6276947720353454,0.3976963455579734,0.2241621585460678,0.17467796567007696,-0.09039810258518596,0.022261057771403872
2025,ACT,1500,1.5,4.0,1.9343749999999997,0.19917764244436054,0.7547416925551768,0.2241621585460678,0.17467796567007696,-0.09039810258518596,0.022261057771403872
2023,ADH,50,1.5,10.0,1.8547187335256972,13.295415554743983,0.46265045425775864,0.6862016153210561,0.10849054586489149,0.10516535385899796,0.004213243037540366
2024,ADH,50,1.5,14.0,1.9595058326015682,0.5213260725296192,0.49732209015107165,0.6862016153210561,0.10849054586489149,0.10516535385899796,0.004213243037540366
2025,ADH,50,1.5,8.0,1.9816894531249991,0.3435285818861328,0.47604893007121973,0.6862016153210561,0.10849054586489149,0.10516535385899796,0.004213243037540366
2023,ADH,50,2.0,5.0,1.9023681640624996,13.295415554743983,0.46265045425775864,0.5501835438518459,0.08481395105561691,0.10315648421450117,0.0038564755477927463
2024,ADH,50,2.0,5.0,1.9497558593749997,0.5213260725296192,0.49732209015107165,0.5501835438518459,0.08481395105561691,0.10315648421450117,0.0038564755477927463
2025,ADH,50,2.0,4.0,1.9506347656249998,0.3435285818861328,0.47604893007121973,0.5501835438518459,0.08481395105561691,0.10315648421450117,0.0038564755477927463
2023,ADH,50,3.0,3.0,1.7951416015624995,13.295415554743983,0.46265045425775864,0.5811544451793775,0.09456016674172321,0.10968049352442111,0.008789126936174793
2024,ADH,50,3.0,3.0,1.8213623046874998,0.5213260725296192,0.49732209015107165,0.5811544451793775,0.09456016674172321,0.10968049352442111,0.008789126936174793
2025,ADH,50,3.0,2.0,1.524365234374999,0.3435285818861328,0.47604893007121973,0.5811544451793775,0.09456016674172321,0.10968049352442111,0.008789126936174793
2023,ADH,50,4.0,3.0,1.83154296875,13.295415554743983,0.46265045425775864,0.4501535465012182,0.07322978733864352,0.1217739968018235,0.010521146709290718
2024,ADH,50,4.0,3.0,1.8879394531249996,0.5213260725296192,0.49732209015107165,0.4501535465012182,0.07322978733864352,0.1217739968018235,0.010521146709290718
2025,ADH,50,4.0,2.0,1.5541015624999992,0.3435285818861328,0.47604893007121973,0.4501535465012182,0.07322978733864352,0.1217739968018235,0.010521146709290718
2023,ADH,50,5.0,3.0,1.848974609375,13.295415554743983,0.46265045425775864,0.5095183912183657,0.09416184854305071,0.1028214683553608,0.006135599761271326
2024,ADH,50,5.0,3.0,1.9133544921874996,0.5213260725296192,0.49732209015107165,0.5095183912183657,0.09416184854305071,0.1028214683553608,0.006135599761271326
2025,ADH,50,5.0,2.0,1.5619384765624993,0.3435285818861328,0.47604893007121973,0.5095183912183657,0.09416184854305071,0.1028214683553608,0.006135599761271326
2023,ADH,100,1.5,9.0,1.9413330078124993,13.295415554743983,0.46265045425775864,0.6243327709659309,0.09525520172621682,0.0992488198402181,0.004823809918287533
2024,ADH,100,1.5,10.0,1.9469660342708925,0.5213260725296192,0.49732209015107165,0.6243327709659309,0.09525520172621682,0.0992488198402181,0.004823809918287533
2025,ADH,100,1.5,6.0,1.9264648437499998,0.3435285818861328,0.47604893007121973,0.6243327709659309,0.09525520172621682,0.0992488198402181,0.004823809918287533
2023,ADH,100,2.0,4.0,1.9126953125,13.295415554743983,0.46265045425775864,0.5096458774665619,0.08573851467428763,0.14511370591331732,0.005202240597829485
2024,ADH,100,2.0,4.0,1.9696777343749998,0.5213260725296192,0.49732209015107165,0.5096458774665619,0.08573851467428763,0.14511370591331732,0.005202240597829485
