year,ticker,N,delta,xmin,alpha,gamma (nlls),gamma (psd),phi exponent,beta exponent
2023,AFE,100,3,2.0,1.591381835937499,0.5598595882961557,0.5906877170557643,0.5389520007884396,0.0895264894605352
2024,AFE,100,3,2.0,1.5817871093749996,0.6384140497256037,0.543731893408646,0.5389520007884396,0.0895264894605352
2025,AFE,100,3,2.0,1.6032470703124995,0.5579931223394857,0.5821328055079844,0.5389520007884396,0.0895264894605352
2023,AFE,100,4,2.0,1.6237548828124995,0.5598595882961557,0.5906877170557643,0.4837676204483578,0.07479701380488589
2024,AFE,100,4,2.0,1.6069824218749993,0.6384140497256037,0.543731893408646,0.4837676204483578,0.07479701380488589
2025,AFE,100,4,2.0,1.624707031249999,0.5579931223394857,0.5821328055079844,0.4837676204483578,0.07479701380488589
2023,AFE,500,2,2.0,1.5165283203124984,0.5598595882961557,0.5906877170557643,0.5849902289899964,0.13382220642758302
2024,AFE,500,2,3.0,1.9455078124999998,0.6384140497256037,0.543731893408646,0.5849902289899964,0.13382220642758302
2025,AFE,500,2,2.0,1.520703124999999,0.5579931223394857,0.5821328055079844,0.5849902289899964,0.13382220642758302
2023,AFE,500,3,2.0,1.6790527343749995,0.5598595882961557,0.5906877170557643,0.17797756412212176,0.0495356559285217
2024,AFE,500,3,2.0,1.6153320312499995,0.6384140497256037,0.543731893408646,0.17797756412212176,0.0495356559285217
2025,AFE,500,3,2.0,1.6180419921874991,0.5579931223394857,0.5821328055079844,0.17797756412212176,0.0495356559285217
2024,AFE,500,4,2.0,1.6004638671874991,0.6384140497256037,0.543731893408646,0.1179623615418473,0.012577820991910378
2025,AFE,500,4,3.0,1.955322265625,0.5579931223394857,0.5821328055079844,0.1179623615418473,0.012577820991910378
2023,AFE,1000,2,2.0,1.5641357421874984,0.5598595882961557,0.5906877170557643,0.525848154346339,0.18002764872871538
2024,AFE,1000,2,2.0,1.5457519531249986,0.6384140497256037,0.543731893408646,0.525848154346339,0.18002764872871538
2025,AFE,1000,2,2.0,1.5699951171874984,0.5579931223394857,0.5821328055079844,0.525848154346339,0.18002764872871538
2023,AFE,1000,3,2.0,1.6241210937499995,0.5598595882961557,0.5906877170557643,0.08984798187604355,-0.0027872601107037606
2025,AFE,1000,3,2.0,1.6784667968749996,0.5579931223394857,0.5821328055079844,0.08984798187604355,-0.0027872601107037606
2023,AFH,100,2,5.0,1.9124755859375,0.4328044024280015,0.4602916045010509,0.46529861276221196,0.10292532337738142
2024,AFH,100,2,3.0,1.8426025390624998,0.4194497282779059,0.4550535877976152,0.46529861276221196,0.10292532337738142
2025,AFH,100,2,3.0,1.8072265625,0.5002818166423654,0.30908943048529625,0.46529861276221196,0.10292532337738142
2023,AFH,100,3,2.0,1.4377197265624986,0.4328044024280015,0.4602916045010509,0.3938690096448313,-0.14206412341809327
2024,AFH,100,3,3.0,1.9170898437500004,0.4194497282779059,0.4550535877976152,0.3938690096448313,-0.14206412341809327
2025,AFH,100,3,1.0,0.9677975063216266,0.5002818166423654,0.30908943048529625,0.3938690096448313,-0.14206412341809327
2023,AFH,500,2,4.0,1.7306152343749996,0.4328044024280015,0.4602916045010509,0.4760953035774358,0.06660938935308197
2024,AFH,500,2,3.0,1.8925537109374995,0.4194497282779059,0.4550535877976152,0.4760953035774358,0.06660938935308197
2025,AFH,500,2,3.0,1.8617187499999996,0.5002818166423654,0.30908943048529625,0.4760953035774358,0.06660938935308197
2023,AFT,100,2,3.0,1.8201904296874991,0.4855951892466086,0.6776244741888545,0.618155489327007,0.127141932766954
2024,AFT,100,2,3.0,1.7840820312499996,0.4612467534220479,0.49091818805849574,0.618155489327007,0.127141932766954
2025,AFT,100,2,3.0,1.8664794921874996,0.49298458270684664,0.5046461254161267,0.618155489327007,0.127141932766954
2023,AFT,100,3,2.0,1.5444335937499991,0.4855951892466086,0.6776244741888545,0.626402170301891,0.1377100593866741
2024,AFT,100,3,2.0,1.5349121093749996,0.4612467534220479,0.49091818805849574,0.626402170301891,0.1377100593866741
2025,AFT,100,3,2.0,1.5672851562499988,0.49298458270684664,0.5046461254161267,0.626402170301891,0.1377100593866741
2023,AFT,100,4,2.0,1.5393066406249987,0.4855951892466086,0.6776244741888545,0.530565183101759,0.09749653856757914
2024,AFT,100,4,2.0,1.5629638671874986,0.4612467534220479,0.49091818805849574,0.530565183101759,0.09749653856757914
2025,AFT,100,4,2.0,1.5880126953124991,0.49298458270684664,0.5046461254161267,0.530565183101759,0.09749653856757914
2023,AFT,500,2,3.0,1.8983398437499996,0.4855951892466086,0.6776244741888545,0.5775132507505366,0.16318644477136665
2024,AFT,500,2,3.0,1.8620117187499998,0.4612467534220479,0.49091818805849574,0.5775132507505366,0.16318644477136665
2025,AFT,500,2,3.0,1.9247802734374995,0.49298458270684664,0.5046461254161267,0.5775132507505366,0.16318644477136665
2024,AFT,500,3,2.0,1.5688232421874986,0.4612467534220479,0.49091818805849574,0.3829724310831712,0.7660107147813913
